waypoint1	waypoint2	distance_m	duration_s
300 SW 10th Ave, Topeka, KS 66612	Nevada State Capitol, Carson City, NV 89701	2462119	81882
Georgia State Capitol, Atlanta, GA 30334	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	1601058	52990
402 S Monroe St, Tallahassee, FL 32301	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	1993154	64511
300 SW 10th Ave, Topeka, KS 66612	2 E Main St, Madison, WI 53703	885264	29480
Virginia State Capitol, Richmond, VA 23219	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	4684189	152146
Rhode Island State House, 82 Smith Street, Providence, RI 02903	Utah State Capitol, Salt Lake City, UT 84103	3788124	124070
L St & 10th St, Sacramento, CA 95814	Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	3675274	118498
Indiana State Capitol, Indianapolis, IN 46204	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	463791	15909
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	2750503	89267
Oklahoma State Capitol, Oklahoma City, OK 73105	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	1092425	35475
200 E Colfax Ave, Denver, CO 80203	Rhode Island State House, 82 Smith Street, Providence, RI 02903	3149582	102639
Louisiana State Capitol, Baton Rouge, LA 70802	New Jersey State House, Trenton, NJ 08608	2125065	69136
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	1873972	61330
New Jersey State House, Trenton, NJ 08608	500 E Capitol Ave, Pierre, SD 57501	2535528	82614
Illinois State Capitol, Springfield, IL 62756	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	3405262	111535
L St & 10th St, Sacramento, CA 95814	200 E Colfax Ave, Denver, CO 80203	1881205	61227
700 W Jefferson St, Boise, ID 83720	Oklahoma State Capitol, Oklahoma City, OK 73105	2381578	75538
West Virginia State Capitol, Charleston, WV 25317	2 E Main St, Madison, WI 53703	1036808	35354
300 SW 10th Ave, Topeka, KS 66612	New Jersey State House, Trenton, NJ 08608	1943570	64647
700 W Jefferson St, Boise, ID 83720	500 E Capitol Ave, Pierre, SD 57501	1700787	59119
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Missouri State Capitol, Jefferson City, MO 65101	1933062	64351
Maine State House, Augusta, ME 04330	Massachusetts State House, Boston, MA 02108	260531	9425
Minnesota State Capitol, St Paul, MN 55155	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	1708022	56619
Louisiana State Capitol, Baton Rouge, LA 70802	North Carolina State Capitol, Raleigh, NC 27601	1500709	48388
L St & 10th St, Sacramento, CA 95814	North Carolina State Capitol, Raleigh, NC 27601	4499451	145834
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	891341	29643
Minnesota State Capitol, St Paul, MN 55155	Rhode Island State House, 82 Smith Street, Providence, RI 02903	2209294	73500
Nevada State Capitol, Carson City, NV 89701	Utah State Capitol, Salt Lake City, UT 84103	880839	27890
Minnesota State Capitol, St Paul, MN 55155	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	699814	22770
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Louisiana State Capitol, Baton Rouge, LA 70802	1605426	52598
400-498 N West St, Jackson, MS 39201	Utah State Capitol, Salt Lake City, UT 84103	2652406	89694
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	Rhode Island State House, 82 Smith Street, Providence, RI 02903	3891251	128412
Illinois State Capitol, Springfield, IL 62756	Indiana State Capitol, Indianapolis, IN 46204	331633	11663
New Jersey State House, Trenton, NJ 08608	North Dakota State Capitol, Bismarck, ND 58501	2605873	84974
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	State House, 107 North Main Street, Concord, NH 03303	2091147	70197
Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	Vermont State House, 115 State Street, Montpelier, VT 05633	725358	27021
New Mexico State Capitol, Santa Fe, NM 87501	Wyoming State Capitol, Cheyenne, WY 82001	792033	25403
L St & 10th St, Sacramento, CA 95814	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	861505	29600
200 E Colfax Ave, Denver, CO 80203	Maine State House, Augusta, ME 04330	3418387	110943
200 E Colfax Ave, Denver, CO 80203	Vermont State House, 115 State Street, Montpelier, VT 05633	3117244	103687
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Minnesota State Capitol, St Paul, MN 55155	1917773	64431
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	West Virginia State Capitol, Charleston, WV 25317	1044556	34212
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	993281	33399
Missouri State Capitol, Jefferson City, MO 65101	Oklahoma State Capitol, Oklahoma City, OK 73105	671161	22277
Massachusetts State House, Boston, MA 02108	New Mexico State Capitol, Santa Fe, NM 87501	3575175	116704
200 E Colfax Ave, Denver, CO 80203	Utah State Capitol, Salt Lake City, UT 84103	841152	28576
New Mexico State Capitol, Santa Fe, NM 87501	Utah State Capitol, Salt Lake City, UT 84103	1009968	36429
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Michigan State Capitol, Lansing, MI 48933	3125553	101162
400-498 N West St, Jackson, MS 39201	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	666008	21610
402 S Monroe St, Tallahassee, FL 32301	Maine State House, Augusta, ME 04330	2357463	77360
Michigan State Capitol, Lansing, MI 48933	Vermont State House, 115 State Street, Montpelier, VT 05633	1228017	41466
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	400-498 N West St, Jackson, MS 39201	2366978	74922
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	455868	16161
New Mexico State Capitol, Santa Fe, NM 87501	Rhode Island State House, 82 Smith Street, Providence, RI 02903	3494683	115293
700 W Jefferson St, Boise, ID 83720	Maine State House, Augusta, ME 04330	4530828	146518
Illinois State Capitol, Springfield, IL 62756	State House, 107 North Main Street, Concord, NH 03303	1826951	63862
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Louisiana State Capitol, Baton Rouge, LA 70802	552559	21984
Oregon State Capitol, 900 Court St NE, Salem, OR 97301	Rhode Island State House, 82 Smith Street, Providence, RI 02903	5021523	164020
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Virginia State Capitol, Richmond, VA 23219	731580	25680
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Virginia State Capitol, Richmond, VA 23219	1775881	58698
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	West Virginia State Capitol, Charleston, WV 25317	1052766	35440
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Utah State Capitol, Salt Lake City, UT 84103	1067899	36123
Minnesota State Capitol, St Paul, MN 55155	West Virginia State Capitol, Charleston, WV 25317	1438030	47976
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Vermont State House, 115 State Street, Montpelier, VT 05633	773698	26710
Indiana State Capitol, Indianapolis, IN 46204	500 E Capitol Ave, Pierre, SD 57501	1545420	50350
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	1028612	33874
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Massachusetts State House, Boston, MA 02108	163033	6098
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Georgia State Capitol, Atlanta, GA 30334	1585697	53714
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Illinois State Capitol, Springfield, IL 62756	1053119	34291
Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	West Virginia State Capitol, Charleston, WV 25317	631658	21144
North Dakota State Capitol, Bismarck, ND 58501	Rhode Island State House, 82 Smith Street, Providence, RI 02903	2907302	95466
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Rhode Island State House, 82 Smith Street, Providence, RI 02903	2069524	68697
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	1826496	60070
300 SW 10th Ave, Topeka, KS 66612	400-498 N West St, Jackson, MS 39201	1158756	39641
Indiana State Capitol, Indianapolis, IN 46204	State House, 107 North Main Street, Concord, NH 03303	1494753	52768
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Maine State House, Augusta, ME 04330	1772326	59316
Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	West Virginia State Capitol, Charleston, WV 25317	4182136	135662
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	4362588	141534
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	500 E Capitol Ave, Pierre, SD 57501	2159926	72786
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Indiana State Capitol, Indianapolis, IN 46204	2734360	89009
402 S Monroe St, Tallahassee, FL 32301	Rhode Island State House, 82 Smith Street, Providence, RI 02903	2059936	67620
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	1326878	44548
Georgia State Capitol, Atlanta, GA 30334	Utah State Capitol, Salt Lake City, UT 84103	3024928	98568
New York State Capitol, State St. and Washington Ave, Albany, NY 12224	2 E Main St, Madison, WI 53703	1563965	52279
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	2 E Main St, Madison, WI 53703	474235	16233
L St & 10th St, Sacramento, CA 95814	Utah State Capitol, Salt Lake City, UT 84103	1051681	33716
Minnesota State Capitol, St Paul, MN 55155	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	1748622	55426
North Carolina State Capitol, Raleigh, NC 27601	North Dakota State Capitol, Bismarck, ND 58501	2649870	87579
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	2 E Main St, Madison, WI 53703	1510851	51646
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Minnesota State Capitol, St Paul, MN 55155	1381467	44589
300 SW 10th Ave, Topeka, KS 66612	Missouri State Capitol, Jefferson City, MO 65101	352120	11735
402 S Monroe St, Tallahassee, FL 32301	Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	1841783	62745
300 SW 10th Ave, Topeka, KS 66612	New Mexico State Capitol, Santa Fe, NM 87501	1113558	38607
New Jersey State House, Trenton, NJ 08608	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	785681	26769
Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	West Virginia State Capitol, Charleston, WV 25317	590934	19758
Missouri State Capitol, Jefferson City, MO 65101	Utah State Capitol, Salt Lake City, UT 84103	1989694	65206
200 E Colfax Ave, Denver, CO 80203	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	2906553	94013
Louisiana State Capitol, Baton Rouge, LA 70802	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	950242	30530
New Mexico State Capitol, Santa Fe, NM 87501	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	1106403	38319
Massachusetts State House, Boston, MA 02108	400-498 N West St, Jackson, MS 39201	2281091	75442
Maine State House, Augusta, ME 04330	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	4229097	136953
400-498 N West St, Jackson, MS 39201	North Carolina State Capitol, Raleigh, NC 27601	1266179	41625
200 E Colfax Ave, Denver, CO 80203	Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	2802812	92888
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Vermont State House, 115 State Street, Montpelier, VT 05633	2358710	80251
Missouri State Capitol, Jefferson City, MO 65101	State House, 107 North Main Street, Concord, NH 03303	2083860	72093
Louisiana State Capitol, Baton Rouge, LA 70802	Missouri State Capitol, Jefferson City, MO 65101	1157480	40299
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	New Mexico State Capitol, Santa Fe, NM 87501	774427	26504
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	New Jersey State House, Trenton, NJ 08608	188117	6734
Georgia State Capitol, Atlanta, GA 30334	North Carolina State Capitol, Raleigh, NC 27601	652639	21847
700 W Jefferson St, Boise, ID 83720	Minnesota State Capitol, St Paul, MN 55155	2349986	75849
North Dakota State Capitol, Bismarck, ND 58501	West Virginia State Capitol, Charleston, WV 25317	2136038	69942
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Utah State Capitol, Salt Lake City, UT 84103	2380471	76209
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Rhode Island State House, 82 Smith Street, Providence, RI 02903	2287909	75725
Massachusetts State House, Boston, MA 02108	State House, 107 North Main Street, Concord, NH 03303	122084	4567
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	2072368	68511
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Louisiana State Capitol, Baton Rouge, LA 70802	2327122	73351
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	New Jersey State House, Trenton, NJ 08608	3802612	124691
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	1438743	48247
New Mexico State Capitol, Santa Fe, NM 87501	500 E Capitol Ave, Pierre, SD 57501	1398667	47553
North Dakota State Capitol, Bismarck, ND 58501	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	2117504	73434
New Mexico State Capitol, Santa Fe, NM 87501	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	3311587	107429
Michigan State Capitol, Lansing, MI 48933	Minnesota State Capitol, St Paul, MN 55155	1004428	32918
200 E Colfax Ave, Denver, CO 80203	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	1478566	49927
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	North Dakota State Capitol, Bismarck, ND 58501	2555394	81141
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Indiana State Capitol, Indianapolis, IN 46204	1344057	44970
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	Virginia State Capitol, Richmond, VA 23219	3617474	119192
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	3606514	118419
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	North Carolina State Capitol, Raleigh, NC 27601	3499525	114522
New Jersey State House, Trenton, NJ 08608	West Virginia State Capitol, Charleston, WV 25317	775910	26251
Michigan State Capitol, Lansing, MI 48933	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	2749762	87908
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	500 E Capitol Ave, Pierre, SD 57501	2715494	88723
Nevada State Capitol, Carson City, NV 89701	Wyoming State Capitol, Cheyenne, WY 82001	1583912	50553
200 E Colfax Ave, Denver, CO 80203	Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	1864193	59891
200 E Colfax Ave, Denver, CO 80203	New Jersey State House, Trenton, NJ 08608	2810632	91727
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Oklahoma State Capitol, Oklahoma City, OK 73105	547112	17765
New York State Capitol, State St. and Washington Ave, Albany, NY 12224	Utah State Capitol, Salt Lake City, UT 84103	3544095	115553
Louisiana State Capitol, Baton Rouge, LA 70802	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	1553213	50483
700 W Jefferson St, Boise, ID 83720	Utah State Capitol, Salt Lake City, UT 84103	544207	17410
North Carolina State Capitol, Raleigh, NC 27601	Vermont State House, 115 State Street, Montpelier, VT 05633	1319694	44874
State House, 107 North Main Street, Concord, NH 03303	North Carolina State Capitol, Raleigh, NC 27601	1250518	42895
Maryland State House, 100 State Cir, Annapolis, MD 21401	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	684897	24072
Maine State House, Augusta, ME 04330	North Carolina State Capitol, Raleigh, NC 27601	1405734	47970
Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	3965650	127903
Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	Utah State Capitol, Salt Lake City, UT 84103	3287474	107226
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	2611939	86340
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Maine State House, Augusta, ME 04330	2585216	85587
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Vermont State House, 115 State Street, Montpelier, VT 05633	1492754	52953
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	1496159	48051
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	2845972	92457
New Jersey State House, Trenton, NJ 08608	2 E Main St, Madison, WI 53703	1501153	50179
700 W Jefferson St, Boise, ID 83720	New Jersey State House, Trenton, NJ 08608	3956849	127605
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	2 E Main St, Madison, WI 53703	1450674	46346
Illinois State Capitol, Springfield, IL 62756	Virginia State Capitol, Richmond, VA 23219	1350670	45338
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	3708217	119176
300 SW 10th Ave, Topeka, KS 66612	Vermont State House, 115 State Street, Montpelier, VT 05633	2348793	79844
Illinois State Capitol, Springfield, IL 62756	New Mexico State Capitol, Santa Fe, NM 87501	1727925	58757
Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	Oklahoma State Capitol, Oklahoma City, OK 73105	1468075	47917
L St & 10th St, Sacramento, CA 95814	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	4312359	138843
Massachusetts State House, Boston, MA 02108	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	4978892	161722
402 S Monroe St, Tallahassee, FL 32301	Utah State Capitol, Salt Lake City, UT 84103	3417899	113000
Illinois State Capitol, Springfield, IL 62756	Vermont State House, 115 State Street, Montpelier, VT 05633	1806724	62487
Missouri State Capitol, Jefferson City, MO 65101	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	1852942	61044
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Wyoming State Capitol, Cheyenne, WY 82001	2954014	96385
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	500 E Capitol Ave, Pierre, SD 57501	809818	25846
Maine State House, Augusta, ME 04330	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	3405010	111909
Illinois State Capitol, Springfield, IL 62756	Rhode Island State House, 82 Smith Street, Providence, RI 02903	1786808	60670
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	4081204	133805
Minnesota State Capitol, St Paul, MN 55155	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	1888668	60470
South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	Vermont State House, 115 State Street, Montpelier, VT 05633	1642243	54873
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	402 S Monroe St, Tallahassee, FL 32301	1549915	50548
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Georgia State Capitol, Atlanta, GA 30334	2974023	94307
Illinois State Capitol, Springfield, IL 62756	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	623156	20740
North Carolina State Capitol, Raleigh, NC 27601	500 E Capitol Ave, Pierre, SD 57501	2566102	84821
Rhode Island State House, 82 Smith Street, Providence, RI 02903	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	1433905	48308
Illinois State Capitol, Springfield, IL 62756	North Carolina State Capitol, Raleigh, NC 27601	1354089	46186
Indiana State Capitol, Indianapolis, IN 46204	300 SW 10th Ave, Topeka, KS 66612	875152	29003
300 SW 10th Ave, Topeka, KS 66612	North Carolina State Capitol, Raleigh, NC 27601	1821308	60147
New Jersey State House, Trenton, NJ 08608	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	4712435	153748
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	North Dakota State Capitol, Bismarck, ND 58501	1067013	33385
L St & 10th St, Sacramento, CA 95814	North Dakota State Capitol, Bismarck, ND 58501	2405110	79061
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Missouri State Capitol, Jefferson City, MO 65101	1654362	56818
Louisiana State Capitol, Baton Rouge, LA 70802	North Dakota State Capitol, Bismarck, ND 58501	2494502	83448
Maine State House, Augusta, ME 04330	Virginia State Capitol, Richmond, VA 23219	1137107	39213
Nevada State Capitol, Carson City, NV 89701	State House, 107 North Main Street, Concord, NH 03303	4648498	153098
Indiana State Capitol, Indianapolis, IN 46204	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	1001496	33082
Maryland State House, 100 State Cir, Annapolis, MD 21401	Wyoming State Capitol, Cheyenne, WY 82001	2685105	87713
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	400-498 N West St, Jackson, MS 39201	1325240	43732
700 W Jefferson St, Boise, ID 83720	Louisiana State Capitol, Baton Rouge, LA 70802	3230224	107494
New Mexico State Capitol, Santa Fe, NM 87501	2 E Main St, Madison, WI 53703	2012902	67737
300 SW 10th Ave, Topeka, KS 66612	Maine State House, Augusta, ME 04330	2649936	87099
L St & 10th St, Sacramento, CA 95814	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	3668991	118017
402 S Monroe St, Tallahassee, FL 32301	Louisiana State Capitol, Baton Rouge, LA 70802	713508	22957
Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	Virginia State Capitol, Richmond, VA 23219	770599	26288
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	New Jersey State House, Trenton, NJ 08608	1764351	58086
Minnesota State Capitol, St Paul, MN 55155	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	1937523	63476
402 S Monroe St, Tallahassee, FL 32301	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	1332540	45303
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Michigan State Capitol, Lansing, MI 48933	1314610	42799
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	300 SW 10th Ave, Topeka, KS 66612	2218254	73430
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	2 E Main St, Madison, WI 53703	1681120	56288
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	500 E Capitol Ave, Pierre, SD 57501	1618094	52042
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	1875100	61820
700 W Jefferson St, Boise, ID 83720	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	861910	29296
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	2758173	88643
200 E Colfax Ave, Denver, CO 80203	Missouri State Capitol, Jefferson City, MO 65101	1219182	38815
Michigan State Capitol, Lansing, MI 48933	Nevada State Capitol, Carson City, NV 89701	3423796	110745
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	1209098	40629
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	1909649	63206
Oklahoma State Capitol, Oklahoma City, OK 73105	Virginia State Capitol, Richmond, VA 23219	2078854	67365
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	1278074	41470
North Dakota State Capitol, Bismarck, ND 58501	Vermont State House, 115 State Street, Montpelier, VT 05633	2874965	96514
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Maryland State House, 100 State Cir, Annapolis, MD 21401	1672128	55283
200 E Colfax Ave, Denver, CO 80203	Wyoming State Capitol, Cheyenne, WY 82001	162977	5765
L St & 10th St, Sacramento, CA 95814	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	4588421	147875
Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	1158389	38148
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	State House, 107 North Main Street, Concord, NH 03303	2432695	80715
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Rhode Island State House, 82 Smith Street, Providence, RI 02903	140938	5527
Indiana State Capitol, Indianapolis, IN 46204	Vermont State House, 115 State Street, Montpelier, VT 05633	1474526	51393
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	200 E Colfax Ave, Denver, CO 80203	2283660	73436
700 W Jefferson St, Boise, ID 83720	Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	3105847	100211
402 S Monroe St, Tallahassee, FL 32301	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	570645	22792
Maine State House, Augusta, ME 04330	Missouri State Capitol, Jefferson City, MO 65101	2364114	78061
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	Vermont State House, 115 State Street, Montpelier, VT 05633	321861	10877
Missouri State Capitol, Jefferson City, MO 65101	500 E Capitol Ave, Pierre, SD 57501	1190637	38271
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	State House, 107 North Main Street, Concord, NH 03303	1512981	54327
Maryland State House, 100 State Cir, Annapolis, MD 21401	Vermont State House, 115 State Street, Montpelier, VT 05633	848394	29439
Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	Vermont State House, 115 State Street, Montpelier, VT 05633	1193740	42094
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	1138460	39202
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Indiana State Capitol, Indianapolis, IN 46204	914961	30006
300 SW 10th Ave, Topeka, KS 66612	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	1096352	35195
402 S Monroe St, Tallahassee, FL 32301	Virginia State Capitol, Richmond, VA 23219	1225602	38528
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Michigan State Capitol, Lansing, MI 48933	1344347	43397
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	402 S Monroe St, Tallahassee, FL 32301	1951980	63939
300 SW 10th Ave, Topeka, KS 66612	New York State Capitol, State St. and Washington Ave, Albany, NY 12224	2138102	70169
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	L St & 10th St, Sacramento, CA 95814	3151067	101386
Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	917431	30515
Massachusetts State House, Boston, MA 02108	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	1777219	59392
