waypoint1	waypoint2	distance_m	duration_s
402 S Monroe St, Tallahassee, FL 32301	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	3703180	121920
Iowa State Capitol, 1007 E Grand Ave, Des Moines, IA 50319	Nevada State Capitol, Carson City, NV 89701	2565429	82987
North Carolina State Capitol, Raleigh, NC 27601	2 E Main St, Madison, WI 53703	1545150	52785
400-498 N West St, Jackson, MS 39201	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	957477	30758
L St & 10th St, Sacramento, CA 95814	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	2461787	78409
200 E Colfax Ave, Denver, CO 80203	Massachusetts State House, Boston, MA 02108	3170892	103133
State House, 107 North Main Street, Concord, NH 03303	Wyoming State Capitol, Cheyenne, WY 82001	3082303	103167
700 W Jefferson St, Boise, ID 83720	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	3760751	121333
300 SW 10th Ave, Topeka, KS 66612	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	3022102	97243
300 SW 10th Ave, Topeka, KS 66612	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	1697631	55553
Georgia State Capitol, Atlanta, GA 30334	Maine State House, Augusta, ME 04330	1985423	66918
500 E Capitol Ave, Pierre, SD 57501	West Virginia State Capitol, Charleston, WV 25317	2059488	67406
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	1711982	55986
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	1827872	57174
Connecticut State Capitol, 210 Capitol Ave, Hartford, CT 06106	North Dakota State Capitol, Bismarck, ND 58501	2785840	91083
North Carolina State Capitol, Raleigh, NC 27601	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	771396	27004
Indiana State Capitol, Indianapolis, IN 46204	2 E Main St, Madison, WI 53703	535515	18336
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	Oklahoma State Capitol, Oklahoma City, OK 73105	1551801	50965
Minnesota State Capitol, St Paul, MN 55155	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	1215946	39960
Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	591688	20570
Indiana State Capitol, Indianapolis, IN 46204	Wyoming State Capitol, Cheyenne, WY 82001	1769573	57316
North Carolina State Capitol, Raleigh, NC 27601	Pennsylvania State Capitol Building, North 3rd Street, Harrisburg, PA 17120	625512	21437
200 E Colfax Ave, Denver, CO 80203	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	2072303	68870
Maine State House, Augusta, ME 04330	Rhode Island State House, 82 Smith Street, Providence, RI 02903	348608	12110
Minnesota State Capitol, St Paul, MN 55155	Nevada State Capitol, Carson City, NV 89701	2864213	94041
700 W Jefferson St, Boise, ID 83720	2 E Main St, Madison, WI 53703	2666733	85751
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Georgia State Capitol, Atlanta, GA 30334	1183632	40323
Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	Utah State Capitol, Salt Lake City, UT 84103	2629654	85783
Minnesota State Capitol, St Paul, MN 55155	2 E Main St, Madison, WI 53703	417349	14242
New Jersey State House, Trenton, NJ 08608	Vermont State House, 115 State Street, Montpelier, VT 05633	610534	21432
Nevada State Capitol, Carson City, NV 89701	Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	3498150	112191
300 SW 10th Ave, Topeka, KS 66612	Ohio State Capitol, 1 Capitol Square, Columbus, OH 43215	1157547	38104
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	2748473	89069
Michigan State Capitol, Lansing, MI 48933	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	3808788	123702
Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	Vermont State House, 115 State Street, Montpelier, VT 05633	3858914	129459
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	North Dakota State Capitol, Bismarck, ND 58501	1903796	61989
North Carolina State Capitol, Raleigh, NC 27601	Virginia State Capitol, Richmond, VA 23219	273743	8988
Tennessee State Capitol, 600 Charlotte Avenue, Nashville, TN 37243	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	3913259	127442
Texas Capitol, 1100 Congress Avenue, Austin, TX 78701	2 E Main St, Madison, WI 53703	1902526	63494
Alabama State Capitol, 600 Dexter Avenue, Montgomery, AL 36130	Utah State Capitol, Salt Lake City, UT 84103	3078983	99875
Massachusetts State House, Boston, MA 02108	Wyoming State Capitol, Cheyenne, WY 82001	3101206	101305
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	400-498 N West St, Jackson, MS 39201	410924	15524
Oregon State Capitol, 900 Court St NE, Salem, OR 97301	West Virginia State Capitol, Charleston, WV 25317	4180676	135922
Utah State Capitol, Salt Lake City, UT 84103	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	1399410	45827
New Jersey State House, Trenton, NJ 08608	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	4651733	150692
L St & 10th St, Sacramento, CA 95814	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	1115233	38124
North Carolina State Capitol, Raleigh, NC 27601	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	4695730	153298
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	Georgia State Capitol, Atlanta, GA 30334	834057	27728
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	4722133	155215
402 S Monroe St, Tallahassee, FL 32301	Michigan State Capitol, Lansing, MI 48933	1653526	55924
200 E Colfax Ave, Denver, CO 80203	300 SW 10th Ave, Topeka, KS 66612	868171	27318
Maine State House, Augusta, ME 04330	South Carolina State House, 1100 Gervais Street, Columbia, SC 29201	1732405	58081
Indiana State Capitol, Indianapolis, IN 46204	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	3707961	120789
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	500 E Capitol Ave, Pierre, SD 57501	664171	23732
New Jersey State House, Trenton, NJ 08608	Utah State Capitol, Salt Lake City, UT 84103	3481284	113454
Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	Missouri State Capitol, Jefferson City, MO 65101	711404	23738
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Massachusetts State House, Boston, MA 02108	612113	21846
Maryland State House, 100 State Cir, Annapolis, MD 21401	Michigan State Capitol, Lansing, MI 48933	984795	33027
Illinois State Capitol, Springfield, IL 62756	Maine State House, Augusta, ME 04330	2107868	69743
400-498 N West St, Jackson, MS 39201	Montana State Capitol, 1301 E 6th Ave, Helena, MT 59601	3083142	102194
New Jersey State House, Trenton, NJ 08608	Wyoming State Capitol, Cheyenne, WY 82001	2774047	90275
L St & 10th St, Sacramento, CA 95814	Massachusetts State House, Boston, MA 02108	4852761	156995
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	700 W Jefferson St, Boise, ID 83720	2853423	90792
Missouri State Capitol, Jefferson City, MO 65101	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	565824	19628
L St & 10th St, Sacramento, CA 95814	Missouri State Capitol, Jefferson City, MO 65101	3030263	97422
402 S Monroe St, Tallahassee, FL 32301	North Dakota State Capitol, Bismarck, ND 58501	2894309	94267
402 S Monroe St, Tallahassee, FL 32301	Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	1994029	67422
Arkansas State Capitol, 500 Woodlane Street, Little Rock, AR 72201	New Jersey State House, Trenton, NJ 08608	1916562	62900
North Carolina State Capitol, Raleigh, NC 27601	Rhode Island State House, 82 Smith Street, Providence, RI 02903	1108077	38079
Maryland State House, 100 State Cir, Annapolis, MD 21401	West Virginia State Capitol, Charleston, WV 25317	624276	20983
Maryland State House, 100 State Cir, Annapolis, MD 21401	Oklahoma State Capitol, Oklahoma City, OK 73105	2150915	71607
Arizona State Capitol, 1700 W Washington St, Phoenix, AZ 85007	State House, 107 North Main Street, Concord, NH 03303	4228062	141262
Georgia State Capitol, Atlanta, GA 30334	2 E Main St, Madison, WI 53703	1396619	45040
200 E Colfax Ave, Denver, CO 80203	Nevada State Capitol, Carson City, NV 89701	1595181	55314
Maryland State House, 100 State Cir, Annapolis, MD 21401	Virginia State Capitol, Richmond, VA 23219	230875	8260
402 S Monroe St, Tallahassee, FL 32301	400-498 N West St, Jackson, MS 39201	694704	24211
Virginia State Capitol, Richmond, VA 23219	2 E Main St, Madison, WI 53703	1533610	51632
Nebraska State Capitol, 1445 K Street, Lincoln, NE 68509	Oregon State Capitol, 900 Court St NE, Salem, OR 97301	2651879	86396
Legislative Hall: The State Capitol, Legislative Avenue, Dover, DE 19901	Kentucky State Capitol Building, 700 Capitol Avenue, Frankfort, KY 40601	1039310	35183
300 SW 10th Ave, Topeka, KS 66612	Massachusetts State House, Boston, MA 02108	2402441	79290
Maryland State House, 100 State Cir, Annapolis, MD 21401	Washington State Capitol Bldg, 416 Sid Snyder Ave SW, Olympia, WA 98504	4562791	148130
